and
as
atom
boolean
create table
delete
drop
float
from
global
groupby
inner
integer
join
limit
local
merge
not null
of
on commit
or
primary key
preserve
quanta
rows
select
system versioning
temporary
timestamp
varchar
where
with
quantum
